Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"Doradca klienta - sektor drzewny"; "Szczęśliwa, 80-176 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na okres próbny"; "Leroy Merlin Polska Sp. z o. o."; 05.01.2022; 
"Robotnik placowy"; "Rzęsna 3, 80-716 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na okres próbny"; "TRANSBUD GDAŃSK SPÓŁKA AKCYJNA"; 05.01.2022; 
"Digital Marketing Specialist with Czech for Social Media Project (m/f/d)"; "Grunwaldzka 472, 80-309 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na czas nieokreślony"; "COMPETENCE CALL CENTER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Spawacz"; "Na Ostrowiu 15/20, 80-873 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na czas określony"; "INIRON Erwin Wilkoszewski"; 05.01.2022; 
"Szlifierz"; "Na Ostrowiu 15/20, 80-873 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na czas określony"; "INIRON Erwin Wilkoszewski"; 05.01.2022; 
"Digital Marketing Specialist with Polish for Social Media Project (m/f/d)"; "Grunwaldzka 472, 80-309 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na czas nieokreślony"; "COMPETENCE CALL CENTER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Monter"; "Na Ostrowiu 15/20, 80-873 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na czas określony"; "INIRON Erwin Wilkoszewski"; 05.01.2022; 
"Digital Marketing Specialist with German for Social Media Project (m/f/d)"; "Grunwaldzka 472, 80-309 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na czas nieokreślony"; "COMPETENCE CALL CENTER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Digital Marketing Specialist with Romanian for Social Media Project (m/f/d)"; "Grunwaldzka 472, 80-309 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na czas nieokreślony"; "COMPETENCE CALL CENTER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Murarz"; "Beniowskiego 19, 80-382 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na okres próbny"; "BSU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; 05.01.2022; 
