Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"Instruktor muzyczny zespołu"; "22-417 Stary Zamość 5a, powiat: zamojski, woj: lubelskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Gminny Ośrodek Kultury Stary Zamość"; 21.12.2021; 
"Pracownik fizyczny"; "Osmolice Pierwsze, powiat: lubelski, woj: lubelskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 21.12.2021; 
"Pracownik produkcji"; "Kwiatkowskiego 7, 52-407 Wrocław, powiat: m. Wrocław, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "Niden team Sp. z o.o."; 20.12.2021; 
"Sekretarka"; "Królewiecka 43, 74-300 Myślibórz, powiat: myśliborski, woj: zachodniopomorskie"; "Umowa o pracę na czas określony"; "MALDROBUD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; 21.12.2021; 
"Sprzątaczka "; "Portowa 24, 27-600 Sandomierz, powiat: sandomierski, woj: świętokrzyskie"; "Umowa o pracę na okres próbny"; """PROMETEUSZ"" Sp. z o.o."; 21.12.2021; 
"pracownik do transportu wewnątrz szpitalnego"; "FRYDERYKA SZOPENA 2, 35-959 Rzeszów, powiat: m. Rzeszów, woj: podkarpackie"; "Umowa o pracę na okres próbny"; "OPTIMA CLEANING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 21.12.2021; 
"OPERATOR ZGRZEWAREK"; "POD BOREM 23, 36-060 Głogów Małopolski, powiat: rzeszowski, woj: podkarpackie"; "Umowa o pracę na okres próbny"; """FOLPAK"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 21.12.2021; 
"Technik prac biurowych"; "Dzierżoniów, powiat: dzierżoniowski, woj: dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; 17.12.2021; 
"Kontroler jakości "; "63-440 Korytnica 12, powiat: ostrowski, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "Nawrocka Sylwia PRZEDSIĘBIORSTWO WYTWÓRCZO-USŁUGOWO-HANDLOWE ""METPOL"""; 21.12.2021; 
"Mechanik maszyn"; "63-440 Korytnica 12, powiat: ostrowski, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "Nawrocka Sylwia PRZEDSIĘBIORSTWO WYTWÓRCZO-USŁUGOWO-HANDLOWE ""METPOL"""; 21.12.2021; 
"Spawacz konstrukcji stalowych"; "Staroprzygodzka 117, 63-400 Ostrów Wielkopolski, powiat: ostrowski, woj: wielkopolskie"; "Umowa o pracę na czas określony"; """TRASKO-STAL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 21.12.2021; 
"Ślusarz konstrukcji stalowych"; "Staroprzygodzka 117, 63-400 Ostrów Wielkopolski, powiat: ostrowski, woj: wielkopolskie"; "Umowa o pracę na czas określony"; """TRASKO-STAL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 21.12.2021; 
"Sprzątaczka biurowa"; "Połonińska 8, 35-082 Rzeszów, powiat: m. Rzeszów, woj: podkarpackie"; "Umowa o pracę na okres próbny"; "ALPALINE Sp. z o.o."; 21.12.2021; 
"magazynier artykułów nabiałowych"; "Jarocińska 18, 63-330 Dobrzyca, powiat: pleszewski, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "Okręgowa Spółdzielnia Mleczarska"; 21.12.2021; 
"Konsultant ds. Sprzedaży w Salonie Play | CH Jeziorak (1/2 etatu)"; "Królowej Jadwigi 6, 14-200 Iława, powiat: iławski, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Eureka Aleksandra Dreszler"; 21.12.2021; 
"Pracownik serwisu - kierowca"; "Ludwiga Van Beethovena 25, 58-300 Wałbrzych, powiat: m. Wałbrzych, woj: dolnośląskie"; "Umowa o pracę na okres próbny"; """Pakt"" Sp. z o.o."; 21.12.2021; 
"Specjalista do spraw kadr i sekretariatu"; "Jana Brzechwy 16, 58-300 Wałbrzych, powiat: m. Wałbrzych, woj: dolnośląskie"; "Umowa o pracę na okres próbny"; "Teatr Lalki i Aktora w Wałbrzychu"; 21.12.2021; 
"Młodszy asystent"; "Armii Krajowej 35c, 58-300 Wałbrzych, powiat: m. Wałbrzych, woj: dolnośląskie"; "Umowa o pracę na okres próbny"; "Powiatowa Stacja Sanitarno-Epidemiologiczna w Wałbrzychu"; 21.12.2021; 
"Pracownik produkcyjny przy linii recyclingowej"; "Sportowa 13, 58-305 Wałbrzych, powiat: m. Wałbrzych, woj: dolnośląskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Produkcji Handlu i Usług A.L.V.""Link"" Sp. z o.o."; 21.12.2021; 
"Pracownik księgowości (S)"; "Koszyce Wielkie, powiat: tarnowski, woj: małopolskie"; "Nie dotyczy"; "kontakt przez PUP"; 07.12.2021; 
"Murarz"; "-, 47-400 Racibórz, powiat: raciborski, woj: śląskie"; "Umowa o pracę na czas określony"; "USŁUGI BUDOWLANE KASPRZYKOWSKI SŁAWOMIR"; 21.12.2021; 
"Terapeuta"; "Wojska Polskiego 3, 49-100 Niemodlin, powiat: opolski, woj: opolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Niemodlińskie Stowarzyszenie Dobroczynne ""Nadzieja"""; 21.12.2021; 
"Magazynier - operator wózka widłowego"; "Katowicka 101 101, 43-346 Bielsko-Biała, powiat: m. Bielsko-Biała, woj: śląskie"; "Umowa o pracę na czas nieokreślony"; "Beskid Spółka z o.o."; 21.12.2021; 
"Spedytor (FP)"; "Żagań, powiat: żagański, woj: lubuskie"; "Nie dotyczy"; "kontakt przez PUP"; 21.12.2021; 
"Księgowa"; "83-200 Rokocin 4G, powiat: starogardzki, woj: pomorskie"; "Umowa o pracę na czas określony"; "PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE ""HADM"" MIECZYSŁAW GRAMATOWSKI"; 21.12.2021; 
"Palacz centralnego ogrzewania"; "Rejowiec, powiat: chełmski, woj: lubelskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 21.12.2021; 
"Elektryk"; "Kościuszki 74, 62-100 Wągrowiec, powiat: wągrowiecki, woj: wielkopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Zespół Opieki Zdrowotnej w Wągrowcu"; 21.12.2021; 
"Kierowca kat C+E (bez doświadczenia)"; "Wojska Polskiego 3, 39-300 Mielec, powiat: mielecki, woj: podkarpackie"; "Umowa o pracę na okres próbny"; """SILVA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 21.12.2021; 
"Kierowca ciągnika rolniczego"; "39-308 Jamy 88, powiat: mielecki, woj: podkarpackie"; "Umowa o pracę na okres próbny"; "PJS usługi Patryk Szula"; 21.12.2021; 
"Mechanik maszyn rolniczych i budowlanych"; "39-308 Jamy 88, powiat: mielecki, woj: podkarpackie"; "Umowa o pracę na okres próbny"; "PJS usługi Patryk Szula"; 21.12.2021; 
"Mechanik samochodów ciężarowych "; "Wojska Polskiego 3, 39-300 Mielec, powiat: mielecki, woj: podkarpackie"; "Umowa o pracę na czas określony"; """SILVA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 21.12.2021; 
"Operator ładowarki"; "Wojska Polskiego 3, 39-300 Mielec, powiat: mielecki, woj: podkarpackie"; "Umowa o pracę na czas określony"; """SILVA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 21.12.2021; 
"Specjalista ds. spawalniczych"; "Władysława Sikorskiego 17, 38-460 Jedlicze, powiat: krośnieński, woj: podkarpackie"; "Umowa o pracę na czas określony"; "NAFTOREMONT - NAFTOBUDOWA Sp. z o.o."; 21.12.2021; 
"Kierownik biura"; "Marcina Lutra 7, 43-300 Bielsko-Biała, powiat: m. Bielsko-Biała, woj: śląskie"; "Umowa o pracę na okres próbny"; "Wyższa Szkoła Administracji"; 21.12.2021; 
"Operator urządzeń uzdatniania i demineralizacji wody"; "Rokitniańska 4, 37-700 Przemyśl, powiat: m. Przemyśl, woj: podkarpackie"; "Umowa o pracę na czas określony"; "Przedsiębiorstwo Wodociągów i Kanalizacji Sp. z o.o."; 21.12.2021; 
"Specjalista ds. ofertowania"; "Władysława Sikorskiego 17, 38-460 Jedlicze, powiat: krośnieński, woj: podkarpackie"; "Umowa o pracę na czas określony"; "NAFTOREMONT - NAFTOBUDOWA Sp. z o.o."; 21.12.2021; 
"Kasjer- Sprzedawca"; "Łużyckie 51, 66-200 Świebodzin, powiat: świebodziński, woj: lubuskie"; "Umowa o pracę na czas określony"; "DRAFT 6 SP Z O O"; 20.12.2021; 
"Operator Maszyn Budowlanych"; "Ozimska 17, 46-053 Chrząstowice, powiat: opolski, woj: opolskie"; "Umowa o pracę na czas nieokreślony"; "Plada Sp. z o.o."; 21.12.2021; 
"czynności administracyjno-biurowe (nr 5644)"; "Bydgoszcz, powiat: m. Bydgoszcz, woj: kujawsko-pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 21.12.2021; 
"Operator maszyn i urządzeń ST POWER 758/3666/827/21"; "Kruszyn, powiat: włocławski, woj: kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; 14.12.2021; 
"Nauczyciel współorganizujący"; "Szkolna 5, 86-122 Przysiersk, powiat: świecki, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA W PRZYSIERSKU"; 21.12.2021; 
"referent ds. magazynu"; "LG Electronics 7, 06-500 Mława, powiat: mławski, woj: mazowieckie"; "Umowa o pracę na okres próbny"; "HEESUNG ELECTRONICS POLAND Sp. z o.o."; 21.12.2021; 
"Pomocnik Brygadzisty w Dziale Produkcji"; "AL.L.OKULICKIEGO 16C, 35-206 Rzeszów, powiat: m. Rzeszów, woj: podkarpackie"; "Umowa o pracę na czas nieokreślony"; "ZMM MAXPOL SPÓŁKA ZOO"; 21.12.2021; 
"Specjalista ds.  kontroli jakości"; "Władysława Sikorskiego 17, 38-460 Jedlicze, powiat: krośnieński, woj: podkarpackie"; "Umowa o pracę na czas określony"; "NAFTOREMONT - NAFTOBUDOWA Sp. z o.o."; 21.12.2021; 
"Piekarz"; "Kardynała Stefana Wyszyńskiego 14, 21-040 Świdnik, powiat: świdnicki, woj: lubelskie"; "Umowa o pracę na okres próbny"; """SPOŁEM"" POWSZECHNA SPÓŁDZIELNIA SPOŻYWCÓW"; 21.12.2021; 
"Pomoc krawiecka"; "Chemińska 206, 86-300 Grudziądz, powiat: m. Grudziądz, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; """LA BELL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 21.12.2021; 
"Opiekun medyczny (nr 5643)"; "Smukalska 251, 85-485 Bydgoszcz, powiat: m. Bydgoszcz, woj: kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "Zakład Pielęgnacyjno-Opiekuńczy"; 21.12.2021; 
"Kierowca"; "Ozimska 17, 46-053 Chrząstowice, powiat: opolski, woj: opolskie"; "Umowa o pracę na czas nieokreślony"; "Plada Sp. z o.o."; 21.12.2021; 
"Salowa/Salowy"; "Bystrzańska 94B, 43-309 Bielsko-Biała, powiat: m. Bielsko-Biała, woj: śląskie"; "Umowa o pracę na okres próbny"; "Szpital św. Łukasza SA"; 21.12.2021; 
"Operator węzła betoniarskiego"; "Sadowa 5, 83-200 Starogard Gdański, powiat: starogardzki, woj: pomorskie"; "Umowa o pracę na czas określony"; "Eurobud Chajewscy Sp. J."; 20.12.2021; 
"Specjalista ds. marketingu"; "Ostrowiecka 45, 27-440 Ćmielów, powiat: ostrowiecki, woj: świętokrzyskie"; "Umowa o pracę na czas nieokreślony"; "POLSKIE FABRYKI PORCELANY „ĆMIELÓW” I „CHODZIEŻ” S.A."; 21.12.2021; 
"Kierowca samochodu ciężarowego"; "59-970 Wrociszów Górny 25A, powiat: zgorzelecki, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "V-Reisen Usługi Transportowe Krajowe i Międzynarodowe Aleksandra Kazimierska"; 21.12.2021; 
"Pracownik administracji"; "Rzeszów, powiat: m. Rzeszów, woj: podkarpackie"; "Nie dotyczy"; "kontakt przez PUP"; 15.12.2021; 
"Pracownik gospodarczy/konserwator"; "Piekarska 3, 37-100 Łańcut, powiat: łańcucki, woj: podkarpackie"; "Umowa o pracę na okres próbny"; "Dawid Ożóg Helpik"; 20.12.2021; 
"Kucharz"; "Złotów, powiat: złotowski, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 20.12.2021; 
"Pracownik biurowy (S, 1K)"; "Tarnów, powiat: m. Tarnów, woj: małopolskie"; "Nie dotyczy"; "kontakt przez PUP"; 16.11.2021; 
"Pracownik biurowy"; "Sosnowiec, powiat: m. Sosnowiec, woj: śląskie"; "Nie dotyczy"; "kontakt przez PUP"; 20.12.2021; 
"Sprzątaczka biurowa"; "Górnicza, 44-335 Jastrzębie-Zdrój, powiat: m. Jastrzębie-Zdrój, woj: śląskie"; "Umowa o pracę na okres próbny"; "ARMA Sp. z o.o."; 20.12.2021; 
"Instruktor terapii zajęciowej"; "Kisielany Żmichy 52, 08-124 Mokobody, powiat: siedlecki, woj: mazowieckie"; "Umowa o pracę w zastępstwie"; "CARITAS Diecezji Siedleckiej"; 20.12.2021; 
"Księgowa"; "Józefa Piłsudskiego 47, 08-110 Siedlce, powiat: m. Siedlce, woj: mazowieckie"; "Umowa o pracę na okres próbny"; "PAŃSTWOWE PRZEDSIĘBIORSTWO ODZIEŻOWE ""RAKON"" W RACIBORZU"; 20.12.2021; 
"Referent ds. księgowych"; "Józefa Piłsudskiego 47, 08-110 Siedlce, powiat: m. Siedlce, woj: mazowieckie"; "Umowa o pracę na okres próbny"; "PAŃSTWOWE PRZEDSIĘBIORSTWO ODZIEŻOWE ""RAKON"" W RACIBORZU"; 20.12.2021; 
"Z-ca Kierownika sklepu"; "Kołłątaja 15, 72-600 Świnoujście, powiat: m. Świnoujście, woj: zachodniopomorskie"; "Umowa o pracę na okres próbny"; "Dealz Polska Sp. z o.o."; 20.12.2021; 
"Kierownik sklepu "; "Kołłątaja 15, 72-600 Świnoujście, powiat: m. Świnoujście, woj: zachodniopomorskie"; "Umowa o pracę na okres próbny"; "Dealz Polska Sp. z o.o."; 20.12.2021; 
"Kierowca autobusu"; "78-100 Kołobrzeg, powiat: kołobrzeski, woj: zachodniopomorskie"; "Umowa o pracę na okres próbny"; "USŁUGI TURYSTYCZNO-PRZEWOZOWE PIOTR WOJCIECHOWSKI"; 20.12.2021; 
"pracownik ubojowy"; "06-231 Sieluń 66/A, powiat: makowski, woj: mazowieckie"; "Umowa o pracę na czas nieokreślony"; "GLABEEF SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W ORGANIZACJI SPÓŁKA KOMANDYTOWA"; 20.12.2021; 
"Operator gilotyny do cięcia blachy"; "Zamość, powiat: m. Zamość, woj: lubelskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 20.12.2021; 
"130 - monter systemów OZE"; "Radom, powiat: m. Radom, woj: mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 20.12.2021; 
"specjalista do spraw sprzedaży"; "21-500 Sławacinek Nowy 26, powiat: bialski, woj: lubelskie"; "Umowa o pracę na okres próbny"; "Gala BBG Wojciech Boksza"; 20.12.2021; 
"operator maszyn"; "21-500 Sławacinek Nowy 26, powiat: bialski, woj: lubelskie"; "Umowa o pracę na okres próbny"; "Gala BBG Wojciech Boksza"; 20.12.2021; 
"Pakowacz"; "Szymanów, powiat: piaseczyński, woj: mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 15.12.2021; 
"Pomocnik mechanika"; "36-211 Jasionów 149, powiat: brzozowski, woj: podkarpackie"; "Umowa o pracę na czas określony"; "Hurtownia Blach ""AKRYL"" Materiały Budowlane Siwak Grzegorz"; 20.12.2021; 
"STRÓŻ NOCNY"; "BRZOZA DZIAŁKA 116/8 116/8, 66-500 Brzoza, powiat: strzelecko-drezdenecki, woj: lubuskie"; "Umowa o pracę na okres próbny"; "KAMIX Kamil Tołkacz"; 20.12.2021; 
"Pracownik budowlany"; "Na terenie całej Polski, 34-116 Bachowice, powiat: wadowicki, woj: małopolskie"; "Umowa o pracę na okres próbny"; "Zygmunt Kajfasz Firma Usługowo Handlowa ""NINAX"" 2 Lekkie Obudowy"; 20.12.2021; 
"pracownik administracyjny"; "Tkacka 106, 34-120 Andrychów, powiat: wadowicki, woj: małopolskie"; "Umowa o pracę na okres próbny"; "Marczyński Łukasz F.H.U. ASMAR"; 20.12.2021; 
"Pomocniczy robotnik w hodowli zwierząt"; "17-100 Parcewo 138, powiat: bielski, woj: podlaskie"; "Umowa o pracę na czas określony"; "Andrzej Brzozowski Gospodarstwo Rolne w Parcewie"; 20.12.2021; 
"Przedstawiciel handlowy-doradca klienta"; "Praca na terenie miasta Chełm i powiatu chełmskiego, 22-100 Chełm, powiat: m. Chełm, woj: lubelskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO HANDLOWE ""AGRO-TERS"" EDWARD SOLAK I STANISŁAW SOLAK SPÓŁKA JAWNA"; 20.12.2021; 
"sprzedawca"; "Wołyńska 16, 22-100 Chełm, powiat: m. Chełm, woj: lubelskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO HANDLOWE ""AGRO-TERS"" EDWARD SOLAK I STANISŁAW SOLAK SPÓŁKA JAWNA"; 20.12.2021; 
"Magazynier"; "Rampa Brzeska 3, 22-100 Chełm, powiat: m. Chełm, woj: lubelskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO HANDLOWE ""AGRO-TERS"" EDWARD SOLAK I STANISŁAW SOLAK SPÓŁKA JAWNA"; 20.12.2021; 
"pracownik biurowy"; "Rampa Brzeska 3, 22-100 Chełm, powiat: m. Chełm, woj: lubelskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO HANDLOWE ""AGRO-TERS"" EDWARD SOLAK I STANISŁAW SOLAK SPÓŁKA JAWNA"; 20.12.2021; 
"Pracownik budowlany "; "KARŁOWICZA 42, 75-453 Koszalin, powiat: m. Koszalin, woj: zachodniopomorskie"; "Umowa o pracę na czas określony"; "PRIMA- BIS MARCIN BEDNAREK"; 20.12.2021; 
"Elektryk "; "78-100 Kołobrzeg, powiat: kołobrzeski, woj: zachodniopomorskie"; "Umowa o pracę na okres próbny"; """CHOLTECH"" WALERIAN CHOLEWA"; 20.12.2021; 
"Pomocnik elektryka "; "78-100 Kołobrzeg, powiat: kołobrzeski, woj: zachodniopomorskie"; "Umowa o pracę na okres próbny"; """CHOLTECH"" WALERIAN CHOLEWA"; 20.12.2021; 
"Pracownik obsługi pralni "; "Mielenko, powiat: koszaliński, woj: zachodniopomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 20.12.2021; 
"Elektryk - monter układów elektrycznych "; "Lechicka 51, 75-842 Koszalin, powiat: m. Koszalin, woj: zachodniopomorskie"; "Umowa o pracę na okres próbny"; "FABRYKA MASZYN ""BUMAR-KOSZALIN"" SPÓŁKA AKCYJNA"; 20.12.2021; 
"Monter maszyn "; "Lechicka 51, 75-842 Koszalin, powiat: m. Koszalin, woj: zachodniopomorskie"; "Umowa o pracę na okres próbny"; "FABRYKA MASZYN ""BUMAR-KOSZALIN"" SPÓŁKA AKCYJNA"; 20.12.2021; 
"Ślusarz "; "Lechicka 51, 75-842 Koszalin, powiat: m. Koszalin, woj: zachodniopomorskie"; "Umowa o pracę na okres próbny"; "FABRYKA MASZYN ""BUMAR-KOSZALIN"" SPÓŁKA AKCYJNA"; 20.12.2021; 
"Obsługa stoiska mięsnego/ sprzedawca"; "Sienkiewicza 14, 32-650 Kęty, powiat: oświęcimski, woj: małopolskie"; "Umowa o pracę na okres próbny"; "KUPIEC GE-ES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"Stolarz budowlany /RPO/ wyp. lub dop. stanowiska pracy um. 62/2018 uzupełnienie"; "Marwice, powiat: gorzowski, woj: lubuskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 20.12.2021; 
"Sprzedawca"; "Dzierżoniów, powiat: dzierżoniowski, woj: dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; 09.12.2021; 
"Doradca klienta"; "Ostroszowicka 11, 58-260 Bielawa, powiat: dzierżoniowski, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "TRI-MEDICA PIOTR KWIECIEŃ"; 20.12.2021; 
"Magazynier"; "Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 20.12.2021; 
"Kucharz"; "Nad Ujściem 6, 84-360 Łeba, powiat: lęborski, woj: pomorskie"; "Umowa o pracę na czas określony"; "ŁEBA PARK s.c. WALDEMAR SŁOTA, ALEKSANDER BECKER"; 20.12.2021; 
"ratownik medyczny"; "Poniatowskiego 26, 08-110 Siedlce, powiat: m. Siedlce, woj: mazowieckie"; "Nie dotyczy"; "MAZOWIECKI SZPITAL WOJEWÓDZKI IM. ŚW. JANA PAWŁA II W SIEDLCACH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"Pielęgniarka w Szpitalnym Oddziale Ratunkowym"; "Poniatowskiego 26, 08-110 Siedlce, powiat: m. Siedlce, woj: mazowieckie"; "Umowa o pracę na okres próbny"; "MAZOWIECKI SZPITAL WOJEWÓDZKI IM. ŚW. JANA PAWŁA II W SIEDLCACH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"PRACOWNIK FIZYCZNY - ŁADOWACZ NIECZYSTOŚCI STAŁYCH"; "Stawowa 2 a, 57-220 Ziębice, powiat: ząbkowicki, woj: dolnośląskie"; "Umowa o pracę na okres próbny"; "ZAKŁAD GOSPODARKI ODPADAMI W ZIĘBICACH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"Technik prac biurowych"; "Lublin, powiat: m. Lublin, woj: lubelskie"; "Nie dotyczy"; "kontakt przez PUP"; 25.11.2021; 
"Kierowca autobusu, busa"; "TUMIDAJSKIEGO KAZIMIERZA- 18/43, 20-247 Lublin, powiat: m. Lublin, woj: lubelskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "PCIAN SŁAWOMIR"; 20.12.2021; 
"Operator podnośnika koszowego"; "Na Ostrowiu 1, 80-958 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na czas nieokreślony"; "KIM INVEST SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"Kierowca kat. B"; "Jodłowa 38, 83-034 Kleszczewo, powiat: gdański, woj: pomorskie"; "Umowa o pracę na czas określony"; "ADCAR SERVICE Adrian Łopuski"; 20.12.2021; 
"Mechanik samochodowy"; "Jodłowa 38, 83-034 Kleszczewo, powiat: gdański, woj: pomorskie"; "Umowa o pracę na czas określony"; "ADCAR SERVICE Adrian Łopuski"; 20.12.2021; 
"Kierowca samochodu ciężarowego"; "Jodłowa 38, 83-034 Kleszczewo, powiat: gdański, woj: pomorskie"; "Umowa o pracę na czas określony"; "ADCAR SERVICE Adrian Łopuski"; 20.12.2021; 
"Piaskarz/Malarz"; "Na Ostrowiu 1, 80-958 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na czas nieokreślony"; "KIM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; 20.12.2021; 
"Pracownik fizyczny"; "Na Ostrowiu 1, 80-958 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na czas nieokreślony"; "KIM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; 20.12.2021; 
"Sprzedawca na stoisku mięsnym"; "Jagiellońska 34, 80-367 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na okres próbny"; """STOKROTKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"Kasjer-sprzedawca"; "Śląska 66, 80-389 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na okres próbny"; """STOKROTKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"Kasjer-sprzedawca"; "Hausbrandta, 80-126 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na okres próbny"; """STOKROTKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"Osoba sprzątająca"; "Jabłoniowa, 80-175 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "ATUT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"Asystent do spraw księgowości"; "Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; 07.12.2021; 
"Magazynier"; "Elbląska 127, 80-718 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na czas określony"; """STANBUD"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"Kierowca kat. B"; "Elbląska 127, 80-718 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na czas określony"; """STANBUD"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"Osoba sprzątająca"; "Jabłoniowa, 80-175 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na okres próbny"; "ATUT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"Pracownik ochrony fizycznej"; "80-373 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na czas określony"; """NORD SECURITY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"Monter sieci, instalacji i urządzeń sanitarnych"; "Śniepie 2, 19-300 Ełk, powiat: ełcki, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Inżynieria Polska"; 20.12.2021; 
"Sprzątaczka biurowa - osoba z orzeczonym stopniem niepełnosprawności"; "Towarowa 9, 44-100 Gliwice, powiat: m. Gliwice, woj: śląskie"; "Umowa o pracę na czas określony"; "Włodzimierz Mysłowski"; 20.12.2021; 
"Pracownik magazynu"; "Dworcowa 10, 13-306 Kurzętnik, powiat: nowomiejski, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO PRZEMYSŁU BETONÓW PREFABET KURZĘTNIK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"Sprzedawca"; "Działyńskich 17, 13-300 Nowe Miasto Lubawskie, powiat: nowomiejski, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "MEDIA-MED JOLANTA HOPPE"; 20.12.2021; 
